0
MS SubClass_20
MS SubClass_30
MS SubClass_40
MS SubClass_45
MS SubClass_50
MS SubClass_60
MS SubClass_70
MS SubClass_75
MS SubClass_80
MS SubClass_85
MS SubClass_90
MS SubClass_120
MS SubClass_150
MS SubClass_160
MS SubClass_180
MS SubClass_190
MS Zoning_A (agr)
MS Zoning_C (all)
MS Zoning_FV
MS Zoning_I (all)
MS Zoning_RH
MS Zoning_RL
MS Zoning_RM
Street_Grvl
Street_Pave
Alley_Grvl
Alley_None
Alley_Pave
Lot Shape_IR1
Lot Shape_IR2
Lot Shape_IR3
Lot Shape_Reg
Land Contour_Bnk
Land Contour_HLS
Land Contour_Low
Land Contour_Lvl
Utilities_AllPub
Utilities_NoSeWa
Utilities_NoSewr
Lot Config_Corner
Lot Config_CulDSac
Lot Config_FR2
Lot Config_FR3
Lot Config_Inside
Land Slope_Gtl
Land Slope_Mod
Land Slope_Sev
Neighborhood_Blmngtn
Neighborhood_Blueste
Neighborhood_BrDale
Neighborhood_BrkSide
Neighborhood_ClearCr
Neighborhood_CollgCr
Neighborhood_Crawfor
Neighborhood_Edwards
Neighborhood_Gilbert
Neighborhood_Greens
Neighborhood_GrnHill
Neighborhood_IDOTRR
Neighborhood_Landmrk
Neighborhood_MeadowV
Neighborhood_Mitchel
Neighborhood_NAmes
Neighborhood_NPkVill
Neighborhood_NWAmes
Neighborhood_NoRidge
Neighborhood_NridgHt
Neighborhood_OldTown
Neighborhood_SWISU
Neighborhood_Sawyer
Neighborhood_SawyerW
Neighborhood_Somerst
Neighborhood_StoneBr
Neighborhood_Timber
Neighborhood_Veenker
Condition 1_Artery
Condition 1_Feedr
Condition 1_Norm
Condition 1_PosA
Condition 1_PosN
Condition 1_RRAe
Condition 1_RRAn
Condition 1_RRNe
Condition 1_RRNn
Condition 2_Artery
Condition 2_Feedr
Condition 2_Norm
Condition 2_PosA
Condition 2_PosN
Condition 2_RRAe
Condition 2_RRAn
Condition 2_RRNn
Bldg Type_1Fam
Bldg Type_2fmCon
Bldg Type_Duplex
Bldg Type_Twnhs
Bldg Type_TwnhsE
House Style_1.5Fin
House Style_1.5Unf
House Style_1Story
House Style_2.5Fin
House Style_2.5Unf
House Style_2Story
House Style_SFoyer
House Style_SLvl
Roof Style_Flat
Roof Style_Gable
Roof Style_Gambrel
Roof Style_Hip
Roof Style_Mansard
Roof Style_Shed
Roof Matl_ClyTile
Roof Matl_CompShg
Roof Matl_Membran
Roof Matl_Metal
Roof Matl_Roll
Roof Matl_Tar&Grv
Roof Matl_WdShake
Roof Matl_WdShngl
Exterior 1st_AsbShng
Exterior 1st_AsphShn
Exterior 1st_BrkComm
Exterior 1st_BrkFace
Exterior 1st_CBlock
Exterior 1st_CemntBd
Exterior 1st_HdBoard
Exterior 1st_ImStucc
Exterior 1st_MetalSd
Exterior 1st_Plywood
Exterior 1st_PreCast
Exterior 1st_Stone
Exterior 1st_Stucco
Exterior 1st_VinylSd
Exterior 1st_Wd Sdng
Exterior 1st_WdShing
Exterior 2nd_AsbShng
Exterior 2nd_AsphShn
Exterior 2nd_Brk Cmn
Exterior 2nd_BrkFace
Exterior 2nd_CBlock
Exterior 2nd_CmentBd
Exterior 2nd_HdBoard
Exterior 2nd_ImStucc
Exterior 2nd_MetalSd
Exterior 2nd_Other
Exterior 2nd_Plywood
Exterior 2nd_PreCast
Exterior 2nd_Stone
Exterior 2nd_Stucco
Exterior 2nd_VinylSd
Exterior 2nd_Wd Sdng
Exterior 2nd_Wd Shng
Mas Vnr Type_BrkCmn
Mas Vnr Type_BrkFace
Mas Vnr Type_CBlock
Mas Vnr Type_None
Mas Vnr Type_Stone
Foundation_BrkTil
Foundation_CBlock
Foundation_PConc
Foundation_Slab
Foundation_Stone
Foundation_Wood
Heating_Floor
Heating_GasA
Heating_GasW
Heating_Grav
Heating_OthW
Heating_Wall
Central Air_N
Central Air_Y
Electrical_FuseA
Electrical_FuseF
Electrical_FuseP
Electrical_Mix
Electrical_SBrkr
Garage Type_2Types
Garage Type_Attchd
Garage Type_Basment
Garage Type_BuiltIn
Garage Type_CarPort
Garage Type_Detchd
Garage Type_None
Misc Feature_Elev
Misc Feature_Gar2
Misc Feature_None
Misc Feature_Othr
Misc Feature_Shed
Misc Feature_TenC
Sale Type_COD
Sale Type_CWD
Sale Type_Con
Sale Type_ConLD
Sale Type_ConLI
Sale Type_ConLw
Sale Type_New
Sale Type_Oth
Sale Type_VWD
Sale Type_WD 
Sale Condition_Abnorml
Sale Condition_AdjLand
Sale Condition_Alloca
Sale Condition_Family
Sale Condition_Normal
Sale Condition_Partial
Has Garage
